
---------- Begin Simulation Statistics ----------
simSeconds                                   0.089712                       # Number of seconds simulated (Second)
simTicks                                  89712390500                       # Number of ticks simulated (Tick)
finalTick                                 89712390500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1336.00                       # Real time elapsed on the host (Second)
hostTickRate                                 67149962                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     940732                       # Number of bytes of host memory used (Byte)
simInsts                                    370821449                       # Number of instructions simulated (Count)
simOps                                      680736517                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   277561                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     509533                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        179424782                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.483858                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.066724                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       705907441                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      131                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      691781580                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    173                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             25171049                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          51804898                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 131                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           179375025                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.856622                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.838643                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6267513      3.49%      3.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  14549573      8.11%     11.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  18660503     10.40%     22.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  44254137     24.67%     46.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  25083870     13.98%     60.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  30096177     16.78%     77.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  27034929     15.07%     92.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  13303933      7.42%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    124390      0.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             179375025                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4873972     99.98%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.98% # attempts to use FU when none available (Count)
